Pclass,Sex,Age,SibSp,Parch,Ticket,Fare,Embarked,Title
3,0,22.0,1,0,0,7.25,0,Mr
1,1,38.0,1,0,1,71.2833,1,Mrs
3,1,26.0,0,0,2,7.925,0,Miss
1,1,35.0,1,0,3,53.1,0,Mrs
3,0,35.0,0,0,4,8.05,0,Mr
3,0,28.834542532422255,0,0,5,8.4583,2,Mr
1,0,54.0,0,0,6,51.8625,0,Mr
3,0,2.0,3,1,7,21.075,0,Master
3,1,27.0,0,2,8,11.1333,0,Mrs
2,1,14.0,1,0,9,30.0708,1,Mrs
3,1,4.0,1,1,10,16.7,0,Miss
1,1,58.0,0,0,11,26.55,0,Miss
3,0,20.0,0,0,12,8.05,0,Mr
3,0,39.0,1,5,13,31.275,0,Mr
3,1,14.0,0,0,14,7.8542,0,Miss
2,1,55.0,0,0,15,16.0,0,Mrs
3,0,2.0,4,1,16,29.125,2,Master
2,0,31.20304770216906,0,0,17,13.0,0,Mr
3,1,31.0,1,0,18,18.0,0,Mrs
3,1,30.46480527199897,0,0,19,7.225,1,Mrs
2,0,35.0,0,0,20,26.0,0,Mr
2,0,34.0,0,0,21,13.0,0,Mr
3,1,15.0,0,0,22,8.0292,2,Miss
1,0,28.0,0,0,23,35.5,0,Mr
3,1,8.0,3,1,7,21.075,0,Miss
3,1,38.0,1,5,24,31.3875,0,Mrs
3,0,28.834542532422255,0,0,25,7.225,1,Mr
1,0,19.0,3,2,26,263.0,0,Mr
3,1,23.493128651101237,0,0,27,7.8792,2,Miss
3,0,28.834542532422255,0,0,28,7.8958,0,Mr
1,0,40.0,0,0,29,27.7208,1,Noble
1,1,37.011215842951565,1,0,30,146.5208,1,Mrs
3,1,23.493128651101237,0,0,31,7.75,2,Miss
2,0,66.0,0,0,32,10.5,0,Mr
1,0,28.0,1,0,33,82.1708,1,Mr
1,0,42.0,1,0,34,52.0,0,Mr
3,0,28.834542532422255,0,0,35,7.2292,1,Mr
3,0,21.0,0,0,36,8.05,0,Mr
3,1,18.0,2,0,37,18.0,0,Miss
3,1,14.0,1,0,38,11.2417,1,Miss
3,1,40.0,1,0,39,9.475,0,Mrs
2,1,27.0,1,0,40,21.0,0,Mrs
3,0,28.834542532422255,0,0,41,7.8958,1,Mr
2,1,3.0,1,2,42,41.5792,1,Miss
3,1,19.0,0,0,43,7.8792,2,Miss
3,0,28.834542532422255,0,0,44,8.05,0,Mr
3,0,28.834542532422255,1,0,45,15.5,2,Mr
3,1,23.493128651101237,0,0,46,7.75,2,Miss
3,0,28.834542532422255,2,0,47,21.6792,1,Mr
3,1,18.0,1,0,48,17.8,0,Mrs
3,0,7.0,4,1,49,39.6875,0,Master
3,0,21.0,0,0,50,7.8,0,Mr
